full_name,owner,html_url,stargazers_count,forks_count,watchers_count,contributors_count,language,size,LOC,first_commit_date,last_commit_date,commits_count,year,month,days,year,month,days,year,month,days,open_issues_count,closed_issues_count,issues_count,open_pulls_count,closed_pulls_count,Total PR,merged_pulls_count,% of open_pulls_count,% of Merged,archived
app-service-dotnet-scale-web-apps,Microsoft Azure,https://github.com/Azure-Samples/app-service-dotnet-scale-web-apps,31,68,23,10,C#,28.235,21.736,20/12/2016,17/01/2024,38,7,0,28,7,7,30,0,7,2,4,13,17,2,13,15,3,"13,33%","23,08%",FALSE
app-service-dotnet-scale-web-apps-on-linux,Microsoft Azure,https://github.com/Azure-Samples/app-service-dotnet-scale-web-apps-on-linux,0,3,22,11,C#,28.205,21.683,11/04/2017,17/01/2024,32,6,9,6,7,4,8,0,7,2,2,11,13,2,11,13,1,"15,38%","9,09%",FALSE
app-service-language-detector,Microsoft Azure,https://github.com/Azure-Samples/app-service-language-detector,1,7,14,6,JavaScript,715,17.138,22/10/2021,19/03/2024,18,2,4,26,2,9,28,0,5,0,0,3,4,1,3,4,3,"25,00%","100,00%",FALSE
appfabric-sample-log-generator,Amazon AWS,https://github.com/aws-samples/appfabric-sample-log-generator,2,1,3,5,JavaScript,523,30.751,29/03/2024,09/08/2024,11,0,4,11,0,4,21,0,0,10,1,2,3,1,2,3,2,"33,33%","100,00%",FALSE
ApplicationInsights-Java-Samples,Microsoft Azure,https://github.com/Azure-Samples/ApplicationInsights-Java-Samples,2,10,15,6,Java,15.083,47.203,30/04/2024,08/08/2024,459,0,3,9,0,3,20,0,0,11,1,481,482,1,481,482,448,"0,21%","93,14%",FALSE
appmod-partners-serverless,Amazon AWS,https://github.com/aws-samples/appmod-partners-serverless,6,2,6,5,Python,1.266,66.294,23/05/2023,06/08/2024,34,1,2,14,1,2,27,0,0,13,0,8,8,0,8,8,8,"0,00%","100,00%",FALSE
ARGUS,Microsoft Azure,https://github.com/Azure-Samples/ARGUS,13,7,9,9,Python,34.364,90.724,29/05/2024,09/08/2024,110,0,2,11,0,2,21,0,0,10,4,1,5,3,0,3,0,"100,00%",-,FALSE
ASA-Samples-Restful-Application,Microsoft Azure,https://github.com/Azure-Samples/ASA-Samples-Restful-Application,3,5,13,6,Java,508,39.494,17/07/2023,22/04/2024,19,0,9,5,1,1,2,0,3,28,0,6,6,0,6,6,6,"0,00%","100,00%",FALSE
avp-petstore-sample,Amazon AWS,https://github.com/aws-samples/avp-petstore-sample,33,132,6,6,JavaScript,31.742,20.380,11/05/2023,04/10/2023,83,0,4,23,1,3,8,0,10,15,9,10,19,8,10,18,10,"44,44%","100,00%",FALSE
aws-amplify-example-recipe-app-react-native,Amazon AWS,https://github.com/aws-samples/aws-amplify-example-recipe-app-react-native,8,7,11,5,Java,5.752,15.851,06/04/2021,30/08/2023,57,2,4,24,3,4,13,0,11,20,3,20,23,3,20,23,20,"13,04%","100,00%",FALSE
aws-analytics-genai-llm-workshop,Amazon AWS,https://github.com/aws-samples/aws-analytics-genai-llm-workshop,7,1,3,6,Jupyter Notebook,17.242,91.162,02/08/2023,21/09/2023,38,0,1,19,1,0,17,0,10,29,3,12,15,3,12,15,6,"20,00%","50,00%",FALSE
